"","id_ind","ind_sex","ind_age","ind_main_job_wage","ind_education_years"
"11390",5,1,3,NA,0
"11391",6,NA,NA,NA,NA
"11392",1,1,52,NA,6
"11393",2,2,45,NA,6
"11394",3,NA,NA,NA,NA
"11395",4,NA,NA,NA,NA
"11396",5,NA,NA,NA,NA
"11397",6,NA,NA,NA,NA
"11398",7,NA,NA,NA,NA
"11399",8,2,16,NA,NA
"11400",9,1,11,NA,NA
"11401",10,2,9,NA,NA
"11402",1,1,33,320000,11
"11403",2,2,28,NA,8
"11404",3,1,5,NA,NA
"11405",4,2,1,NA,NA
"11406",1,1,53,NA,9
"11407",2,2,38,NA,5
"11408",3,NA,NA,NA,NA
"11409",4,2,16,NA,NA
"11410",5,1,13,NA,NA
"11411",6,1,10,NA,NA
"11412",7,1,8,NA,NA
"11413",8,NA,NA,NA,NA
"11414",9,2,6,NA,0
"11415",10,2,19,NA,NA
"11416",1,1,65,NA,11
"11417",2,2,61,NA,6
"11418",3,2,50,NA,8
"11419",4,1,43,NA,3
"11420",5,1,29,NA,11
"11421",6,1,25,90000,7
"11422",7,2,19,NA,NA
"11423",8,2,17,NA,NA
"11424",9,2,16,NA,NA
"11425",10,2,14,NA,NA
"11426",11,1,11,NA,NA
"11427",12,1,9,NA,NA
"11428",13,2,4,NA,NA
"11429",14,2,24,NA,6
"11430",15,2,25,NA,7
"11431",16,2,4,NA,NA
"11432",17,NA,NA,NA,NA
"11433",18,2,14,NA,NA
"11434",19,1,10,NA,NA
"11435",20,2,18,NA,6
"11436",21,2,1,NA,NA
"11437",22,2,21,NA,0
"11438",23,2,0,NA,NA
"11439",1,2,23,NA,0
"11440",2,2,20,NA,0
"11441",3,2,8,NA,0
"11442",1,1,85,NA,0
"11443",1,1,76,NA,NA
"11444",2,2,65,NA,NA
"11445",3,1,NA,NA,NA
"11446",4,1,27,NA,NA
"11447",5,2,24,NA,NA
"11448",6,1,23,NA,NA
"11449",7,2,5,NA,NA
"11450",8,1,10,NA,NA
"11451",9,2,7,NA,NA
"11452",10,1,4,NA,NA
"11453",11,2,22,NA,NA
"11454",1,1,14,NA,4
"11455",2,2,40,NA,6
"11456",3,2,16,NA,NA
"11457",4,1,40,NA,5
"11458",5,1,25,NA,5
"11459",6,1,8,NA,NA
"11460",7,1,12,NA,NA
"11461",8,1,6,NA,NA
"11462",9,1,9,NA,NA
"11463",1,2,55,NA,7
"11464",2,NA,NA,NA,NA
"11465",3,2,29,NA,6
"11466",4,2,28,NA,5
"11467",5,2,23,NA,2
"11468",6,1,18,NA,5
"11469",7,2,3,NA,0
"11470",1,1,47,NA,6
"11471",2,1,21,NA,8
"11472",3,1,19,NA,5
"11473",4,1,17,NA,2
"11474",5,1,13,NA,1
"11475",6,1,11,NA,0
"11476",7,2,9,NA,0
"11477",8,2,31,NA,0
"11478",9,2,2,NA,NA
"11479",1,2,38,NA,6
"11480",2,1,36,NA,4
"11481",3,2,2,NA,NA
"11482",1,1,43,NA,2
"11483",2,2,32,NA,0
"11484",3,2,11,NA,NA
"11485",4,2,11,NA,NA
"11486",5,1,9,NA,NA
"11487",6,1,3,NA,0
"11488",7,2,0,NA,NA
"11489",1,1,51,NA,15
"11490",2,2,38,230000,12
"11491",3,2,15,NA,NA
"11492",4,2,9,NA,NA
"11493",5,1,1,NA,NA
"11494",6,NA,NA,NA,NA
"11495",1,2,24,NA,NA
"11496",2,1,40,NA,NA
"11497",3,1,5,NA,NA
"11498",4,1,0,NA,NA
"11499",1,1,67,NA,12
"11500",2,1,35,NA,12
"11501",3,2,33,323000,12
"11502",4,2,NA,NA,NA
"11503",5,2,NA,NA,NA
"11504",6,2,NA,NA,NA
"11505",7,2,NA,NA,NA
"11506",1,2,52,NA,6
"11507",2,2,13,NA,NA
"11508",3,1,10,NA,NA
"11509",4,2,4,NA,NA
"11510",5,2,2,NA,NA
"11511",1,1,68,NA,0
"11512",2,2,59,NA,0
"11513",3,NA,NA,NA,NA
"11514",4,1,29,NA,0
"11515",5,1,22,NA,0
"11516",6,2,27,NA,0
"11517",7,1,18,NA,0
"11518",8,1,11,NA,0
"11519",9,NA,NA,NA,NA
"11520",10,NA,NA,NA,NA
"11521",11,2,3,NA,NA
"11522",12,NA,NA,NA,NA
"11523",13,1,1,NA,NA
"11524",1,2,43,NA,4
"11525",2,1,68,NA,3
"11526",3,1,20,NA,6
"11527",4,2,16,NA,NA
"11528",5,1,11,NA,NA
"11529",6,1,10,NA,NA
"11530",7,1,22,80000,6
"11531",8,2,7,NA,NA
"11532",9,1,2,NA,NA
"11533",10,2,2,NA,NA
"11534",11,2,NA,NA,NA
"11535",12,2,NA,NA,NA
"11536",1,1,28,NA,4
"11537",2,2,29,NA,5
"11538",3,1,9,NA,NA
"11539",4,2,8,NA,NA
"11540",5,1,6,NA,0
"11541",6,1,1,NA,NA
"11542",7,2,26,NA,4
"11543",8,1,1,NA,NA
"11544",9,1,0,NA,NA
"11545",1,2,47,35000,1
"11546",2,1,26,NA,0
"11547",3,2,15,NA,NA
"11548",4,2,12,NA,0
"11549",5,1,15,NA,NA
"11550",6,NA,NA,NA,NA
"11551",7,1,41,60000,8
"11552",8,2,NA,NA,NA
"11553",1,1,28,40000,4
"11554",2,2,25,2e+05,9
"11555",3,NA,NA,NA,NA
"11556",4,2,1,NA,NA
"11557",1,1,79,NA,12
"11558",2,2,72,NA,2
"11559",3,NA,NA,NA,NA
"11560",4,1,14,NA,NA
"11561",5,1,12,NA,NA
"11562",6,2,12,NA,NA
"11563",7,2,8,NA,NA
"11564",1,2,48,NA,12
"11565",2,2,46,NA,11
"11566",1,1,58,120000,NA
"11567",2,2,38,NA,0
"11568",3,1,12,NA,0
"11569",4,1,10,NA,0
"11570",5,1,8,NA,0
"11571",6,1,14,NA,0
"11572",7,1,6,NA,0
"11573",8,1,2,NA,NA
"11574",1,2,42,NA,12
"11575",2,2,17,NA,NA
"11576",3,2,16,NA,NA
"11577",4,1,12,NA,NA
"11578",5,2,11,NA,NA
"11579",6,2,9,NA,NA
"11580",7,NA,NA,NA,NA
"11581",8,NA,NA,NA,NA
"11582",9,2,3,NA,NA
"11583",10,NA,NA,NA,NA
"11584",11,NA,NA,NA,NA
"11585",12,1,1,NA,NA
"11586",13,2,NA,NA,NA
"11587",0,NA,NA,NA,NA
"11588",1,1,NA,NA,NA
"11589",2,1,NA,NA,NA
"11590",3,2,NA,NA,NA
"11591",4,1,14,NA,NA
"11592",5,1,NA,NA,NA
"11593",6,2,20,NA,NA
"11594",7,2,9,NA,NA
"11595",8,2,NA,NA,NA
"11596",9,1,19,NA,NA
"11597",10,2,71,NA,1
"11598",1,1,51,NA,4
"11599",2,2,52,NA,5
"11600",3,2,23,NA,10
"11601",4,NA,NA,NA,NA
"11602",5,1,19,168000,6
"11603",6,2,NA,NA,NA
"11604",7,1,18,NA,NA
"11605",8,2,15,NA,NA
"11606",9,2,14,NA,NA
"11607",10,2,13,NA,NA
"11608",11,1,9,NA,NA
"11609",12,1,7,NA,NA
"11610",13,1,3,NA,NA
"11611",14,2,1,NA,NA
"11612",1,1,55,NA,0
"11613",2,2,53,NA,0
"11614",3,1,30,35000,7
"11615",4,2,32,NA,0
"11616",5,1,15,NA,NA
"11617",6,1,7,NA,0
"11618",7,2,4,NA,0
"11619",8,1,2,NA,NA
"11620",1,1,NA,NA,NA
"11621",2,2,24,NA,7
"11622",3,2,7,NA,NA
"11623",4,2,3,NA,NA
"11624",5,2,0,NA,NA
"11625",1,2,98,NA,0
"11626",2,1,NA,NA,NA
"11627",3,1,NA,NA,NA
"11628",4,2,70,NA,0
"11629",5,2,16,NA,NA
"11630",6,2,13,NA,NA
"11631",1,1,69,NA,4
"11632",2,2,62,NA,0
"11633",3,1,27,NA,2
"11634",4,NA,NA,NA,NA
"11635",5,1,15,NA,NA
"11636",6,NA,NA,NA,NA
"11637",7,NA,NA,NA,NA
"11638",8,2,6,NA,NA
"11639",1,1,50,NA,7
"11640",2,2,38,NA,6
"11641",3,1,18,NA,5
"11642",4,2,14,NA,NA
"11643",5,2,9,NA,NA
"11644",6,2,3,NA,0
"11645",1,NA,NA,NA,NA
"11646",2,1,73,NA,9
"11647",3,2,71,NA,3
"11648",4,NA,NA,NA,NA
"11649",5,2,22,NA,NA
"11650",6,1,19,NA,7
"11651",7,1,17,NA,NA
"11652",8,2,41,NA,10
"11653",9,1,2,NA,NA
"11654",10,2,4,NA,0
"11655",11,1,13,NA,NA
"11656",12,2,15,NA,NA
"11657",13,1,4,NA,0
"11658",1,1,52,NA,7
"11659",2,2,45,NA,3
"11660",3,1,20,NA,7
"11661",4,1,16,NA,NA
"11662",5,2,14,NA,NA
"11663",6,2,12,NA,NA
"11664",7,2,9,NA,NA
"11665",8,1,7,NA,NA
"11666",9,1,0,NA,NA
"11667",10,2,NA,NA,NA
"11668",11,1,NA,NA,NA
"11669",12,1,NA,NA,NA
"11670",13,2,NA,NA,NA
"11671",14,1,NA,NA,NA
"11672",1,1,9,NA,NA
"11673",2,1,21,NA,6
"11674",3,1,5,NA,NA
"11675",4,2,37,NA,7
"11676",1,1,29,860000,12
"11677",1,1,54,NA,10
"11678",2,2,48,NA,6
"11679",3,NA,NA,NA,NA
"11680",4,2,22,NA,NA
"11681",5,2,19,NA,NA
"11682",6,1,17,NA,NA
"11683",7,1,13,NA,NA
"11684",8,1,10,NA,NA
"11685",1,1,53,NA,11
"11686",2,1,NA,NA,NA
"11687",3,2,68,NA,6
"11688",4,NA,NA,NA,NA
"11689",5,1,24,NA,11
"11690",6,2,33,NA,4
"11691",7,1,15,NA,NA
"11692",8,1,20,NA,11
"11693",9,1,12,NA,NA
"11694",10,NA,NA,NA,NA
"11695",11,NA,NA,NA,NA
"11696",12,NA,NA,NA,NA
"11697",13,1,20,NA,6
"11698",14,1,NA,NA,NA
"11699",15,2,NA,NA,NA
"11700",16,2,45,NA,7
"11701",17,1,19,NA,13
"11702",18,2,17,NA,NA
"11703",19,1,NA,NA,NA
"11704",20,2,31,NA,4
"11705",21,1,4,NA,NA
"11706",22,2,4,NA,0
"11707",23,2,1,NA,NA
"11708",24,2,NA,NA,NA
"11709",25,1,NA,NA,NA
"11710",26,2,38,NA,7
"11711",27,1,2,NA,NA
"11712",28,1,15,NA,NA
"11713",29,2,13,NA,NA
"11714",30,2,13,NA,NA
"11715",1,1,59,NA,0
"11716",2,2,52,NA,0
"11717",3,2,20,NA,NA
"11718",4,2,28,NA,0
"11719",1,1,48,NA,12
"11720",2,2,50,5e+05,12
"11721",3,1,20,NA,NA
"11722",4,2,17,NA,NA
"11723",1,2,32,NA,6
"11724",2,2,15,NA,NA
"11725",3,NA,NA,NA,NA
"11726",4,NA,NA,NA,NA
"11727",5,1,37,4e+05,11
"11728",6,2,6,NA,NA
"11729",7,2,6,NA,NA
"11730",8,2,9,NA,NA
"11731",9,1,4,NA,NA
"11732",10,2,4,NA,NA
"11733",1,1,30,NA,11
"11734",2,NA,NA,NA,NA
"11735",3,1,5,NA,NA
"11736",4,1,3,NA,NA
"11737",5,NA,NA,NA,NA
"11738",6,2,20,NA,6
"11739",7,1,0,NA,NA
"11740",1,2,43,NA,0
"11741",2,1,18,NA,7
"11742",3,2,17,NA,NA
"11743",1,2,46,NA,7
"11744",2,2,NA,NA,NA
"11745",3,1,18,NA,NA
"11746",4,2,15,NA,NA
"11747",5,1,9,NA,NA
"11748",6,1,7,NA,NA
"11749",7,1,4,NA,0
"11750",8,1,2,NA,NA
"11751",9,1,49,NA,11
"11752",10,1,2,NA,NA
"11753",1,1,35,NA,4
"11754",2,2,32,NA,5
"11755",3,1,14,NA,NA
"11756",4,2,11,NA,NA
"11757",5,2,8,NA,NA
"11758",6,2,5,NA,NA
"11759",7,2,3,NA,0
"11760",8,1,0,NA,NA
"11761",1,1,45,5e+05,10
"11762",2,2,15,NA,NA
"11763",3,2,12,NA,NA
"11764",4,1,11,NA,NA
"11765",5,2,24,NA,11
"11766",6,2,28,NA,6
"11767",7,1,9,NA,NA
"11768",8,1,6,NA,NA
"11769",9,1,3,NA,NA
"11770",10,2,1,NA,NA
"11771",1,1,27,450000,12
"11772",1,2,51,NA,4
"11773",2,1,24,NA,2
"11774",3,1,19,1e+05,6
"11775",4,1,15,NA,NA
"11776",5,2,NA,NA,NA
"11777",6,2,6,NA,NA
"11778",7,2,NA,NA,NA
"11779",8,1,18,120000,8
"11780",1,1,37,NA,10
"11781",2,2,34,NA,3
"11782",3,2,19,NA,5
"11783",4,1,16,NA,6
"11784",5,1,14,NA,NA
"11785",6,1,12,NA,NA
"11786",7,2,10,NA,NA
"11787",8,2,7,NA,NA
"11788",9,1,2,NA,NA
"11789",10,2,0,NA,NA
"11790",11,2,2,NA,NA
"11791",1,1,32,NA,11
"11792",2,2,28,NA,10
"11793",3,1,4,NA,NA
"11794",4,1,8,NA,NA
"11795",5,1,0,NA,NA
"11796",1,2,58,NA,3
"11797",2,1,21,NA,9
"11798",3,NA,NA,NA,NA
"11799",4,2,15,NA,NA
"11800",5,2,13,NA,NA
"11801",6,1,10,NA,NA
"11802",7,NA,NA,NA,NA
"11803",8,2,25,NA,6
"11804",9,2,3,NA,0
"11805",10,2,13,NA,NA
"11806",11,1,10,NA,NA
"11807",1,2,45,NA,2
"11808",3,1,NA,NA,NA
"11809",4,1,22,NA,11
"11810",5,1,18,NA,NA
"11811",6,1,20,50000,NA
"11812",7,1,15,NA,NA
"11813",8,1,13,NA,NA
"11814",9,1,10,NA,NA
"11815",10,2,NA,NA,NA
"11816",11,1,46,NA,6
"11817",12,2,20,NA,10
"11818",1,1,56,NA,6
"11819",2,NA,NA,NA,NA
"11820",3,NA,NA,NA,NA
"11821",4,NA,NA,NA,NA
"11822",5,NA,NA,NA,NA
"11823",6,1,15,NA,NA
"11824",7,2,12,NA,NA
"11825",8,1,10,NA,NA
"11826",9,2,26,NA,7
"11827",10,1,5,NA,NA
"11828",11,1,2,NA,NA
"11829",12,1,0,NA,NA
"11830",1,2,47,NA,7
"11831",2,2,NA,NA,NA
"11832",3,1,20,NA,10
"11833",4,2,NA,NA,NA
"11834",5,1,17,NA,NA
"11835",6,2,11,NA,NA
"11836",7,1,9,NA,NA
"11837",8,1,NA,NA,NA
"11838",9,2,5,NA,NA
"11839",10,2,80,NA,0
"11840",11,1,25,NA,11
"11841",12,1,50,NA,7
"11842",1,1,36,NA,7
"11843",2,2,30,NA,6
"11844",3,2,8,NA,NA
"11845",4,2,13,NA,2
"11846",5,2,6,NA,0
"11847",6,1,3,NA,0
"11848",7,2,NA,NA,NA
"11849",1,2,27,5e+05,12
"11850",2,NA,NA,NA,NA
"11851",3,2,17,NA,11
"11852",4,2,19,NA,7
"11853",5,1,0,NA,NA
"11854",1,1,35,NA,13
"11855",2,2,23,NA,6
"11856",3,2,2,NA,NA
"11857",1,1,43,50000,4
"11858",2,2,39,NA,2
"11859",3,1,13,NA,NA
"11860",4,2,5,NA,0
"11861",5,1,2,NA,NA
"11862",6,2,0,NA,NA
"11863",1,2,73,NA,0
"11864",2,1,NA,NA,NA
"11865",3,1,NA,NA,NA
"11866",4,2,NA,NA,NA
"11867",5,2,NA,NA,NA
"11868",6,1,7,NA,NA
"11869",7,2,2,NA,NA
"11870",1,1,88,NA,4
"11871",2,2,76,NA,0
"11872",3,NA,NA,NA,NA
"11873",4,1,21,40000,3
"11874",5,1,10,NA,NA
"11875",6,NA,NA,NA,NA
"11876",7,NA,NA,NA,NA
"11877",8,NA,NA,NA,NA
"11878",1,2,8,NA,NA
"11879",2,2,10,NA,NA
"11880",3,2,34,NA,4
"11881",4,1,18,NA,4
"11882",5,1,46,NA,9
"11883",6,NA,NA,NA,NA
"11884",7,NA,NA,NA,NA
"11885",8,NA,NA,NA,NA
"11886",9,1,14,NA,NA
"11887",10,1,19,NA,NA
"11888",11,1,21,NA,4
"11889",12,2,17,NA,5
"11890",13,1,20,NA,6
"11891",14,1,6,NA,NA
"11892",15,1,21,NA,6
"11893",16,2,0,NA,NA
"11894",17,2,0,NA,NA
"11895",1,1,81,NA,6
"11896",2,2,71,NA,0
"11897",1,1,25,NA,11
"11898",2,2,27,NA,6
"11899",3,2,2,NA,NA
"11900",1,2,70,NA,0
"11901",2,2,38,NA,6
"11902",3,2,43,NA,2
"11903",4,2,48,NA,11
"11904",5,2,13,NA,NA
"11905",6,2,44,NA,7
"11906",1,1,46,140000,7
"11907",2,2,36,NA,3
"11908",3,NA,NA,NA,NA
"11909",4,NA,NA,NA,NA
"11910",5,NA,NA,NA,NA
"11911",6,1,14,NA,3
"11912",7,2,12,NA,NA
"11913",8,2,7,NA,NA
"11914",9,NA,NA,NA,NA
"11915",10,1,4,NA,0
"11916",1,1,43,NA,11
"11917",2,2,36,NA,8
"11918",3,1,16,NA,NA
"11919",4,2,13,NA,NA
"11920",5,2,11,NA,NA
"11921",6,1,8,NA,NA
"11922",7,2,6,NA,0
"11923",8,2,2,NA,NA
"11924",1,1,56,NA,7
"11925",2,2,54,NA,0
"11926",3,1,21,NA,NA
"11927",4,2,19,NA,NA
"11928",1,1,58,7e+05,12
"11929",2,2,56,NA,0
"11930",3,1,NA,NA,NA
"11931",4,1,NA,NA,NA
"11932",5,2,NA,NA,NA
"11933",6,2,21,NA,12
"11934",7,2,19,NA,NA
"11935",8,1,17,NA,NA
"11936",9,2,17,NA,NA
"11937",10,2,14,NA,NA
"11938",1,1,54,560000,12
"11939",1,2,41,NA,12
"11940",1,1,41,NA,11
"11941",2,2,37,NA,6
"11942",3,2,12,NA,NA
"11943",4,2,9,NA,NA
"11944",5,1,6,NA,NA
"11945",6,1,0,NA,NA
"11946",1,2,22,NA,8
"11947",2,2,2,NA,NA
"11948",3,1,38,550000,12
"11949",1,1,65,NA,5
"11950",2,2,55,NA,5
"11951",3,1,27,455000,10
"11952",4,1,23,NA,5
"11953",5,1,20,NA,NA
"11954",6,2,16,NA,NA
"11955",7,2,12,NA,NA
"11956",8,NA,NA,NA,NA
"11957",9,1,15,NA,NA
"11958",10,NA,NA,NA,NA
"11959",11,1,6,NA,0
"11960",1,NA,NA,NA,NA
"11961",2,1,29,NA,6
"11962",3,NA,NA,NA,NA
"11963",4,NA,NA,NA,NA
"11964",5,2,34,NA,6
"11965",6,2,10,NA,NA
"11966",1,1,24,NA,NA
"11967",2,1,22,NA,NA
"11968",3,1,19,NA,NA
"11969",4,NA,NA,NA,NA
"11970",5,NA,NA,NA,NA
"11971",6,NA,NA,NA,NA
"11972",7,NA,NA,NA,NA
"11973",8,NA,NA,NA,NA
"11974",0,NA,NA,NA,NA
"11975",1,2,34,NA,2
"11976",2,2,22,NA,NA
"11977",3,1,19,NA,NA
"11978",4,2,7,NA,NA
"11979",5,2,2,NA,NA
"11980",1,1,44,NA,NA
"11981",2,2,30,NA,NA
"11982",3,2,0,NA,NA
"11983",1,2,42,NA,10
"11984",2,NA,NA,NA,NA
"11985",3,NA,NA,NA,NA
"11986",4,1,11,NA,NA
"11987",5,2,6,NA,NA
"11988",6,1,NA,NA,NA
"11989",1,1,86,NA,4
"11990",2,2,60,NA,1
"11991",3,1,35,60000,2
"11992",4,1,33,40000,3
"11993",1,2,58,NA,11
"11994",2,NA,NA,NA,NA
"11995",3,1,21,NA,NA
"11996",4,2,23,NA,12
"11997",5,1,1,NA,NA
"11998",6,1,0,NA,NA
"11999",7,2,9,NA,NA
"12000",1,2,57,NA,0
"12001",2,1,78,NA,0
"12002",3,1,9,NA,NA
"12003",4,2,NA,NA,NA
"12004",1,1,43,NA,6
"12005",2,NA,NA,NA,NA
"12006",3,NA,NA,NA,NA
"12007",4,NA,NA,NA,NA
"12008",5,NA,NA,NA,NA
"12009",6,1,NA,NA,NA
"12010",7,2,39,NA,0
"12011",8,2,18,NA,0
"12012",9,2,16,NA,5
"12013",10,2,14,NA,NA
"12014",11,2,5,NA,NA
"12015",12,2,4,NA,0
"12016",13,2,2,NA,NA
"12017",1,2,41,NA,0
"12018",2,1,16,NA,0
"12019",3,2,12,NA,0
"12020",4,2,7,NA,0
"12021",5,1,1,NA,NA
"12022",6,1,41,NA,0
"12023",1,2,34,80000,7
"12024",3,2,12,NA,NA
"12025",4,2,9,NA,NA
"12026",5,1,NA,NA,NA
"12027",6,1,40,NA,7
"12028",1,1,44,NA,10
"12029",2,2,36,NA,10
"12030",3,1,14,NA,NA
"12031",4,1,9,NA,NA
"12032",5,1,8,NA,NA
"12033",6,2,5,NA,NA
"12034",7,NA,NA,NA,NA
"12035",8,2,14,NA,NA
"12036",9,NA,NA,NA,NA
"12037",10,2,19,50000,5
"12038",11,2,3,NA,NA
"12039",1,1,39,NA,9
"12040",2,2,38,NA,9
"12041",3,2,20,NA,NA
"12042",4,2,18,NA,NA
"12043",5,1,16,NA,NA
"12044",6,1,11,NA,NA
"12045",7,1,8,NA,NA
"12046",8,2,6,NA,NA
"12047",9,2,4,NA,0
"12048",10,1,2,NA,NA
"12049",11,2,18,NA,5
"12050",1,1,25,480000,10
"12051",2,2,25,NA,7
"12052",1,2,50,NA,1
"12053",2,1,15,NA,NA
"12054",3,2,13,NA,0
"12055",4,2,10,NA,NA
"12056",5,2,8,NA,NA
"12057",6,2,6,NA,0
"12058",1,1,48,NA,4
"12059",2,2,40,NA,3
"12060",3,1,NA,NA,NA
"12061",4,2,NA,NA,NA
"12062",5,1,12,NA,NA
"12063",1,1,66,NA,6
"12064",2,2,59,NA,7
"12065",3,2,30,2e+05,12
"12066",4,1,28,NA,11
"12067",5,1,NA,NA,NA
"12068",6,1,16,NA,NA
"12069",7,1,15,NA,NA
"12070",8,2,10,NA,NA
"12071",9,1,11,NA,NA
"12072",1,1,41,NA,7
"12073",2,2,37,NA,11
"12074",3,2,11,NA,NA
"12075",4,1,10,NA,NA
"12076",5,1,7,NA,NA
"12077",1,1,84,NA,4
"12078",2,2,74,NA,3
"12079",3,2,22,NA,NA
"12080",4,1,30,NA,6
"12081",1,1,56,NA,7
"12082",2,2,51,NA,2
"12083",3,2,94,NA,0
"12084",4,1,24,NA,NA
"12085",5,1,17,NA,NA
"12086",6,2,11,NA,NA
"12087",7,2,9,NA,NA
"12088",8,1,1,NA,NA
"12089",1,1,36,NA,9
"12090",2,2,28,NA,11
"12091",3,2,8,NA,NA
"12092",4,1,4,NA,NA
"12093",5,2,2,NA,NA
"12094",6,2,1,NA,NA
"12095",1,2,36,NA,5
"12096",2,NA,NA,NA,NA
"12097",3,NA,NA,NA,NA
"12098",4,NA,NA,NA,NA
"12099",5,NA,NA,NA,NA
"12100",6,1,11,NA,NA
"12101",7,2,6,NA,NA
"12102",8,2,1,NA,NA
"12103",1,1,NA,NA,NA
"12104",2,2,62,NA,0
"12105",3,2,24,NA,5
"12106",4,1,19,NA,0
"12107",5,2,NA,NA,NA
"12108",6,2,4,NA,0
"12109",7,1,2,NA,NA
"12110",8,2,0,NA,NA
"12111",1,NA,NA,NA,NA
"12112",2,NA,NA,NA,NA
"12113",3,NA,NA,NA,NA
"12114",4,1,29,NA,10
"12115",5,NA,NA,NA,NA
"12116",6,NA,NA,NA,NA
"12117",1,2,23,NA,2
"12118",2,1,24,NA,6
"12119",3,1,3,NA,NA
"12120",4,1,1,NA,NA
"12121",1,1,36,6e+05,12
"12122",1,1,45,270000,6
"12123",2,2,42,NA,2
"12124",3,2,23,50000,11
"12125",4,2,15,NA,NA
"12126",5,2,11,NA,NA
"12127",10,2,27,NA,5
"12128",11,1,22,NA,6
"12129",12,2,13,NA,NA
"12130",13,1,8,NA,NA
"12131",14,1,2,NA,NA
"12132",15,1,6,NA,NA
"12133",1,1,58,0,8
"12134",2,2,45,NA,4
"12135",3,NA,NA,NA,NA
"12136",4,NA,NA,NA,NA
"12137",5,NA,NA,NA,NA
"12138",6,1,17,NA,NA
"12139",7,1,12,NA,NA
"12140",8,1,12,NA,NA
"12141",9,NA,NA,NA,NA
"12142",10,NA,NA,NA,NA
"12143",11,1,4,NA,NA
"12144",1,1,45,NA,2
"12145",2,2,43,NA,3
"12146",3,1,20,NA,5
"12147",4,1,15,NA,NA
"12148",5,2,11,NA,NA
"12149",6,1,9,NA,NA
"12150",7,1,7,NA,NA
"12151",8,1,2,NA,NA
"12152",9,1,17,NA,NA
"12153",1,2,60,NA,4
"12154",2,2,98,NA,0
"12155",3,2,78,NA,0
"12156",4,NA,NA,NA,NA
"12157",5,NA,NA,NA,NA
"12158",6,1,75,NA,12
"12159",7,NA,NA,NA,NA
"12160",1,2,44,NA,0
"12161",2,1,41,NA,6
"12162",3,2,5,NA,NA
"12163",1,1,24,NA,11
"12164",2,2,23,10000,13
"12165",3,1,4,NA,NA
"12166",4,2,2,NA,NA
"12167",1,1,30,420000,NA
"12168",2,2,24,NA,10
"12169",3,NA,NA,NA,NA
"12170",4,NA,NA,NA,NA
"12171",5,1,2,NA,NA
"12172",6,1,0,NA,NA
"12173",7,2,NA,NA,NA
"12174",1,NA,NA,NA,NA
"12175",2,1,56,621000,15
"12176",3,2,45,555100,12
"12177",4,NA,NA,NA,NA
"12178",5,2,24,NA,13
"12179",6,2,20,NA,NA
"12180",7,2,13,NA,0
"12181",8,2,11,NA,NA
"12182",1,1,95,NA,3
"12183",1,2,69,NA,0
"12184",2,1,23,NA,6
"12185",3,2,NA,NA,NA
"12186",4,2,7,NA,NA
"12187",5,2,5,NA,0
"12188",1,1,46,NA,NA
"12189",1,2,67,NA,0
"12190",2,1,25,40000,7
"12191",3,1,22,NA,13
"12192",4,1,NA,NA,NA
"12193",5,1,78,NA,5
"12194",1,2,23,NA,4
"12195",2,1,29,NA,7
"12196",3,1,3,NA,0
"12197",1,2,68,NA,6
"12198",2,1,NA,NA,NA
"12199",3,1,15,NA,NA
"12200",4,1,13,NA,NA
"12201",5,1,NA,NA,NA
"12202",6,NA,NA,NA,NA
"12203",7,1,6,NA,NA
"12204",8,1,NA,NA,NA
"12205",9,1,89,NA,3
"12206",1,1,10,NA,NA
"12207",2,2,28,NA,4
"12208",3,NA,NA,NA,NA
"12209",4,2,7,NA,NA
"12210",5,1,5,NA,NA
"12211",6,2,3,NA,0
"12212",1,1,30,NA,12
"12213",2,2,24,NA,7
"12214",3,1,2,NA,NA
"12215",4,1,0,NA,NA
"12216",1,2,23,NA,7
"12217",2,1,39,NA,4
"12218",3,1,4,NA,NA
"12219",4,NA,NA,NA,NA
"12220",5,2,2,NA,NA
"12221",6,2,0,NA,NA
"12222",1,1,47,NA,6
"12223",2,2,33,NA,6
"12224",3,2,8,NA,NA
"12225",4,2,6,NA,NA
"12226",5,2,4,NA,NA
"12227",6,1,13,NA,NA
"12228",7,1,1,NA,NA
"12229",1,2,40,NA,3
"12230",2,1,21,NA,4
"12231",3,2,18,NA,4
"12232",4,2,14,NA,NA
"12233",5,2,12,NA,NA
"12234",6,1,9,NA,NA
"12235",7,2,5,NA,NA
"12236",8,1,0,NA,NA
"12237",1,1,44,NA,7
"12238",2,2,43,NA,1
"12239",3,NA,NA,NA,NA
"12240",4,2,13,NA,NA
"12241",5,2,11,NA,NA
"12242",1,1,45,NA,8
"12243",2,2,36,NA,6
"12244",3,1,21,NA,NA
"12245",4,1,18,NA,NA
"12246",5,1,15,NA,NA
"12247",6,2,13,NA,NA
"12248",7,2,9,NA,NA
"12249",8,1,7,NA,NA
"12250",9,NA,NA,NA,NA
"12251",10,NA,NA,NA,NA
"12252",11,NA,NA,NA,NA
"12253",12,1,0,NA,NA
"12254",13,2,NA,NA,NA
"12255",1,2,55,NA,9
"12256",2,NA,NA,NA,NA
"12257",3,2,9,NA,NA
"12258",4,NA,NA,NA,NA
"12259",5,1,21,NA,NA
"12260",6,2,NA,NA,NA
"12261",1,1,32,NA,11
"12262",2,1,71,NA,0
"12263",3,2,27,NA,7
"12264",4,1,7,NA,NA
"12265",5,1,4,NA,NA
