"","id_ind","ind_sex","ind_age","ind_main_job_wage","ind_education_years"
"552",3,1,71,NA,3
"553",4,2,14,NA,3
"554",5,1,8,NA,NA
"555",6,2,50,NA,9
"556",1,2,33,NA,0
"557",2,2,18,40000,7
"558",3,2,17,NA,NA
"559",4,1,13,NA,NA
"560",5,1,12,NA,NA
"561",6,2,12,NA,NA
"562",7,1,10,NA,NA
"563",8,1,10,NA,NA
"564",9,1,7,NA,NA
"565",10,2,5,NA,NA
"566",11,2,14,NA,NA
"567",12,1,12,NA,NA
"568",13,2,1,NA,NA
"569",14,1,39,NA,1
"570",1,1,59,NA,5
"571",2,2,35,NA,6
"572",3,2,22,NA,8
"573",4,1,13,NA,NA
"574",5,2,10,NA,NA
"575",6,1,7,NA,NA
"576",7,NA,NA,NA,NA
"577",1,1,68,NA,7
"578",2,2,58,NA,6
"579",3,NA,NA,NA,NA
"580",4,NA,NA,NA,NA
"581",5,2,13,NA,NA
"582",6,2,9,NA,NA
"583",7,2,24,NA,11
"584",8,2,18,NA,NA
"585",9,2,2,NA,NA
"586",1,1,30,NA,7
"587",2,2,28,NA,4
"588",3,2,12,NA,NA
"589",4,2,NA,NA,NA
"590",5,1,5,NA,0
"591",6,2,2,NA,NA
"592",1,2,21,NA,6
"593",2,1,25,NA,6
"594",3,1,2,NA,NA
"595",1,2,32,NA,0
"596",2,2,36,NA,0
"597",3,2,18,NA,NA
"598",4,1,13,NA,NA
"599",5,2,10,NA,NA
"600",6,2,20,NA,NA
"601",7,2,31,NA,7
"602",8,2,14,NA,NA
"603",1,1,82,NA,0
"604",2,2,NA,NA,NA
"605",1,1,33,NA,NA
"606",2,2,30,NA,13
"607",3,2,6,NA,NA
"608",4,1,3,NA,NA
"609",1,1,46,NA,NA
"610",2,NA,NA,NA,NA
"611",3,NA,NA,NA,NA
"612",4,NA,NA,NA,NA
"613",5,NA,NA,NA,NA
"614",1,2,3,NA,0
"615",2,2,5,NA,0
"616",3,1,28,NA,6
"617",4,2,23,NA,1
"618",5,1,1,NA,NA
"619",1,1,44,5e+05,12
"620",2,2,36,NA,8
"621",3,2,14,NA,NA
"622",4,2,9,NA,NA
"623",5,2,11,NA,NA
"624",6,2,7,NA,NA
"625",7,2,3,NA,0
"626",8,2,1,NA,NA
"627",1,2,44,NA,0
"628",2,1,14,NA,NA
"629",3,2,11,NA,NA
"630",4,1,7,NA,NA
"631",1,1,37,NA,11
"632",2,2,28,NA,10
"633",3,1,NA,NA,NA
"634",4,1,15,NA,NA
"635",5,2,11,NA,NA
"636",6,1,4,NA,0
"637",7,2,13,NA,NA
"638",1,1,48,NA,3
"639",2,2,43,NA,1
"640",3,1,21,120000,4
"641",4,2,18,NA,NA
"642",5,2,15,NA,2
"643",6,2,13,NA,NA
"644",7,1,9,NA,NA
"645",8,2,4,NA,NA
"646",1,1,29,3e+05,11
"647",2,2,25,NA,7
"648",3,2,8,NA,NA
"649",4,2,4,NA,NA
"650",5,2,2,NA,NA
"651",1,1,76,NA,12
"652",2,2,65,NA,7
"653",3,NA,NA,NA,NA
"654",4,NA,NA,NA,NA
"655",5,2,11,NA,NA
"656",6,1,8,NA,NA
"657",7,2,4,NA,NA
"658",8,1,7,NA,NA
"659",1,1,38,NA,3
"660",2,2,36,NA,0
"661",3,1,18,NA,5
"662",4,1,16,NA,NA
"663",5,1,9,NA,NA
"664",6,2,8,NA,NA
"665",7,1,11,NA,NA
"666",1,2,48,NA,1
"667",2,1,54,NA,7
"668",3,NA,NA,NA,NA
"669",4,1,16,NA,NA
"670",5,1,15,NA,NA
"671",6,1,13,NA,NA
"672",7,1,10,NA,NA
"673",8,1,19,NA,NA
"674",9,2,2,NA,NA
"675",10,1,17,NA,NA
"676",11,1,22,NA,NA
"677",12,2,15,NA,NA
"678",13,2,17,NA,5
"679",1,1,56,NA,5
"680",2,2,48,NA,7
"681",3,2,19,NA,6
"682",4,2,17,NA,NA
"683",5,1,15,NA,NA
"684",6,1,12,NA,NA
"685",7,2,11,NA,NA
"686",8,NA,NA,NA,NA
"687",9,1,4,NA,0
"688",1,2,58,NA,0
"689",2,NA,NA,NA,NA
"690",3,NA,NA,NA,NA
"691",4,NA,NA,NA,NA
"692",5,NA,NA,NA,NA
"693",6,1,19,NA,7
"694",7,1,NA,NA,NA
"695",8,1,18,NA,5
"696",9,1,5,NA,0
"697",10,2,7,NA,NA
"698",1,1,63,NA,10
"699",2,2,62,NA,2
"700",3,1,21,NA,4
"701",4,NA,NA,NA,NA
"702",5,NA,NA,NA,NA
"703",6,2,16,NA,4
"704",7,NA,NA,NA,NA
"705",8,NA,NA,NA,NA
"706",9,NA,NA,NA,NA
"707",1,1,74,NA,0
"708",2,2,61,NA,0
"709",3,2,32,NA,4
"710",4,1,21,NA,6
"711",5,1,17,NA,3
"712",6,1,9,NA,NA
"713",7,NA,NA,NA,NA
"714",8,2,2,NA,NA
"715",1,2,44,NA,7
"716",2,1,15,NA,NA
"717",3,2,12,NA,NA
"718",4,2,10,NA,NA
"719",5,1,5,NA,NA
"720",6,1,57,NA,7
"721",7,1,4,NA,0
"722",8,1,3,NA,0
"723",9,2,4,NA,0
"724",1,NA,NA,NA,NA
"725",2,2,54,NA,0
"726",3,1,15,NA,NA
"727",4,2,12,NA,NA
"728",5,NA,NA,NA,NA
"729",6,2,25,NA,7
"730",7,1,6,NA,NA
"731",8,1,8,NA,NA
"732",9,2,6,NA,NA
"733",1,1,33,450000,9
"734",2,NA,NA,NA,NA
"735",3,NA,NA,NA,NA
"736",4,NA,NA,NA,NA
"737",1,1,47,NA,NA
"738",2,2,46,NA,3
"739",3,1,25,NA,11
"740",4,NA,NA,NA,NA
"741",5,1,19,NA,NA
"742",6,2,15,NA,5
"743",7,2,14,NA,NA
"744",8,2,13,NA,NA
"745",9,2,9,NA,NA
"746",10,2,7,NA,NA
"747",11,1,3,NA,0
"748",1,2,70,NA,0
"749",2,1,24,20000,9
"750",3,1,20,8000,3
"751",4,2,15,NA,0
"752",1,2,58,NA,3
"753",2,2,24,NA,11
"754",3,1,30,NA,7
"755",4,1,15,NA,NA
"756",5,2,12,NA,NA
"757",6,2,19,NA,4
"758",7,2,25,NA,4
"759",8,2,6,NA,0
"760",9,2,4,NA,0
"761",10,1,8,NA,NA
"762",11,1,2,NA,NA
"763",1,1,70,NA,4
"764",2,2,51,NA,0
"765",3,1,14,NA,NA
"766",4,1,7,NA,NA
"767",5,2,14,NA,NA
"768",1,1,52,NA,13
"769",2,2,49,NA,9
"770",3,NA,NA,NA,NA
"771",4,NA,NA,NA,NA
"772",5,NA,NA,NA,NA
"773",1,2,46,38000,4
"774",2,NA,NA,NA,NA
"775",3,NA,NA,NA,NA
"776",4,1,14,NA,NA
"777",5,1,12,NA,NA
"778",6,NA,NA,NA,NA
"779",1,2,63,NA,12
"780",2,2,33,NA,13
"781",1,1,48,80000,3
"782",2,2,38,NA,0
"783",3,2,22,NA,5
"784",4,NA,NA,NA,NA
"785",5,2,12,NA,0
"786",6,1,9,NA,0
"787",7,2,5,NA,0
"788",8,1,8,NA,0
"789",9,2,3,NA,0
"790",10,NA,NA,NA,NA
"791",1,1,52,45000,9
"792",2,2,50,NA,7
"793",3,NA,NA,NA,NA
"794",4,1,22,NA,NA
"795",5,2,16,NA,NA
"796",6,2,17,NA,NA
"797",1,1,63,NA,5
"798",2,2,58,NA,0
"799",3,NA,NA,NA,NA
"800",4,1,19,NA,NA
"801",5,1,16,NA,NA
"802",6,2,11,NA,NA
"803",7,2,12,NA,NA
"804",8,NA,NA,NA,NA
"805",9,1,37,NA,3
"806",10,2,5,NA,NA
"807",11,2,3,NA,NA
"808",12,1,3,NA,0
"809",13,1,1,NA,NA
"810",1,1,47,NA,6
"811",2,2,43,NA,4
"812",3,2,20,NA,NA
"813",4,2,18,NA,NA
"814",5,2,10,NA,NA
"815",6,NA,NA,NA,NA
